출판사,작가,도서/강연제목,대상,강연방식,주제/소개,상세페이지,이미지URL
문학동네,소윤경 (지은이),<호텔 파라다이스> 소윤경 작가와의 만남 :그림책 강연,어린이(저학년),대면/미정,"활동/워크숍 그림책, creative",https://www.bookseed.kr/program/lecture/lecture_20260618102103542_c1176960,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F694516%3Ftimestamp%3D20250419113759
봄마중,"즐하 (지은이), 어수현 (그린이)",<레어템을 얻었습니다> 즐하 작가와의 만남 : 게임 속에서 나와 현실 레어템 찾기!,어린이(저학년),비대면,"활동/워크숍 문학, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260617192629729_8e409607,
창비교육,"강인송 (지은이), 김성라 (그림)",<그래서 그랬어> 강인송 작가와의 만남,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260616153445630_2f02dab0,
책읽는곰,"최원형 (지은이), 이시누 (그림)",<라면을 먹으면 숲이 사라져> 최원형 작가와의 만남,어린이(저학년),비대면,"일반 강연 과학, 기타",https://www.bookseed.kr/program/lecture/lecture_20260616152846005_a6e0ed7e,
어크로스주니어,"다영 (지은이), 김혜원 (그림)",<좋은 친구 도감 - 친구 사이가 술술 풀리는 비밀> 다영 작가와의 만남,어린이(저학년),비대면,"일반 강연 교양/문화, 사회",https://www.bookseed.kr/program/lecture/lecture_20260616083131894_54b50d94,
서사원주니어,박세랑 (지은이),<참 좋은 어린이 도감> 박세랑 작가와의 만남,어린이(저학년),비대면,일반 강연 교양/문화,https://www.bookseed.kr/program/lecture/lecture_20260615144520335_730ea0c6,
창비,"이한준 (지은이), 유설화 (그림)",<노란 프라이팬> 이한준 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260609142200397_334beef7,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533503%3Ftimestamp%3D20231124173926
창비,"김응 (지은이), 박정섭 (그림)",<똥개가 잘 사는 법> 김응 작가와의 만남 :걱정 먹는 동시,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260609134913994_6a093e05,
창비,"임은정 (지은이), 나오미양 (그림)",<별아와 딸깍 마녀> 임은정 작가와의 만남 :내 마음 속 지도 만들기,어린이(저학년),대면/미정,"창작 philosophy, creative",https://www.bookseed.kr/program/lecture/lecture_20260609134425129_ffb25a4c,
창비,"김유진 (지은이), 서영아 (그림)",<뽀뽀의 힘> 김유진 작가와의 만남 :동시 이야기,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260609132945195_1f49341b,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533218%3Ftimestamp%3D20241207113500
창비,"임정자 (지은이), 이형진 (그림)",<어두운 계단에서 도깨비가> 임정자 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260609131039173_9622df9b,
